code,split,id,intent_index,domain,query,detail
cross_split_query_overlap_exact,test|train,test:226|train:6104,,,空调调到十八度风量调到三挡对着人吹,"{""key"": ""空调调到十八度风量调到三挡对着人吹"", ""variants"": [""空调调到十八度风量调到三挡对着人吹""]}"
cross_split_query_overlap_exact,test|validation,test:251|validation:19778,,,打开车窗后切换白天模式,"{""key"": ""打开车窗后切换白天模式"", ""variants"": [""打开车窗后切换白天模式""]}"
cross_split_query_overlap_normalized,test|train,test:226|train:6104,,,空调调到十八度风量调到三挡对着人吹,"{""key"": ""空调调到十八度风量调到三挡对着人吹"", ""variants"": [""空调调到十八度风量调到三挡对着人吹""]}"
cross_split_query_overlap_normalized,test|train,test:847|train:1815,,,播放MUSIC,"{""key"": ""播放music"", ""variants"": [""播放MUSIC"", ""播放music""]}"
cross_split_query_overlap_normalized,test|validation,test:251|validation:19778,,,打开车窗后切换白天模式,"{""key"": ""打开车窗后切换白天模式"", ""variants"": [""打开车窗后切换白天模式""]}"
cross_split_query_overlap_review_normalized,test|train,test:226|train:6104,,,空调调到十八度风量调到三挡对着人吹,"{""key"": ""空调调到十八度风量调到三挡对着人吹"", ""variants"": [""空调调到十八度风量调到三挡对着人吹""]}"
cross_split_query_overlap_review_normalized,test|train,test:847|train:1815,,,播放MUSIC,"{""key"": ""播放music"", ""variants"": [""播放MUSIC"", ""播放music""]}"
cross_split_query_overlap_review_normalized,test|validation,test:251|validation:19778,,,打开车窗后切换白天模式,"{""key"": ""打开车窗后切换白天模式"", ""variants"": [""打开车窗后切换白天模式""]}"
max_intent_claim_violation,train,3827,,,打开所有车窗打开天窗打开空调风量调到四挡打开全景影像播放一首夜色,"{""active_intents"": 6, ""claim"": 5}"
max_intent_claim_violation,train,5788,,,打开所有车窗打开天窗打开遮阳帘打开空调空调温度调到十七度风量调到百分之二十驾驶模式调成标准,"{""active_intents"": 7, ""claim"": 5}"
mixed_domain_example,test,1054,,,空调开到五挡打开座椅通风导航到北医三院机场医院,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,1144,,,停止广播回到首页,"{""domains"": [""收音机"", ""车载控制""]}"
mixed_domain_example,test,13,,,放一首苏鑫的歌打开内循环,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,136,,,导航去公司打开按摩,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,214,,,打开行车记录仪播放我喜欢的音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,227,,,打开蓝牙听个歌呗,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,237,,,播放本地音乐声音调到六,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,244,,,打开迎宾灯并且去迪士尼游玩,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,254,,,打开空调打开座椅通风按摩导航到时光城,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,450,,,打开空调播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,512,,,播放APT打开空调,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,565,,,导航去公司关闭空调,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,574,,,打开四门窗户打开天窗导航到德丽商务酒店,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,616,,,打开前排座椅通风打开所有车窗播放QQ音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,665,,,播放音乐打开反光镜加热,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,673,,,关闭低速提示音导航去公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,68,,,关闭大灯播放音乐打开空调,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,704,,,前排座椅直立然后播放上一首,"{""domains"": [""播放控制"", ""车载控制""]}"
mixed_domain_example,test,721,,,打开座椅通风导航去现代广告创业之创意中心,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,73,,,把空调调到合适的温度然后播放我上次看的电影最后帮我把空座椅按摩打开,"{""domains"": [""影视"", ""车载控制""]}"
mixed_domain_example,test,737,,,打开遮阳帘打开前排车窗播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,752,,,关闭氛围灯播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,753,,,关闭低速提示音导航到公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,765,,,主驾座椅向前调一点播放下一首歌,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,77,,,导航去公司关闭副驾驶屏幕,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,788,,,打开后视镜播放DJ,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,802,,,打开座椅按摩播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,88,,,打开座椅通风播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,892,,,导航回家打开座椅按摩,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,906,,,关闭车外低速报警导航去公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,95,,,播放音乐关闭方向盘加热,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,962,,,打开座椅通风去公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,963,,,关掉低速提示音导航到金茂锦园,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,967,,,音乐声音调大一点到龙岗收费站,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,971,,,打开前排座椅通风导航去万达云龙,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,test,973,,,播放USB音乐打开天窗,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,test,979,,,播放收音机然后打开空调,"{""domains"": [""收音机"", ""车载控制""]}"
mixed_domain_example,test,98,,,关闭座椅按摩关闭香氛导航去星光天地,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,10029,,,播放音乐打开窗户通风,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,10041,,,我要听向云端然后把媒体音量调到百分之七十,"{""domains"": [""车载控制"", ""音乐""]}"
